driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
perez,mclaren,6,9,9,9,2,69,,,59.0,10.0,1:26.143,183.086,+1 Lap
maldonado,williams,16,15,10,10,1,69,,,69.0,9.0,1:25.597,184.254,+1 Lap
hulkenberg,sauber,11,12,11,11,0,69,,,58.0,14.0,1:26.740,181.826,+1 Lap
vergne,toro_rosso,18,14,12,12,0,69,,,53.0,12.0,1:26.491,182.349,+1 Lap
ricciardo,toro_rosso,19,8,13,13,0,69,,,58.0,15.0,1:26.863,181.568,+1 Lap
garde,caterham,21,20,14,14,0,68,,,47.0,17.0,1:27.473,180.302,+2 Laps
pic,caterham,20,19,15,15,0,68,,,54.0,18.0,1:27.725,179.784,+2 Laps
jules_bianchi,marussia,22,21,16,16,0,67,,,57.0,20.0,1:28.250,178.715,+3 Laps
chilton,marussia,23,22,17,17,0,67,,,65.0,19.0,1:28.160,178.897,+3 Laps
resta,force_india,14,18,18,18,0,66,,,55.0,13.0,1:26.608,182.103,Hydraulics
rosberg,mercedes,9,4,19,19,0,64,,,62.0,4.0,1:25.089,185.354,Engine
bottas,williams,17,16,20,R,0,42,,,41.0,16.0,1:27.127,181.018,Hydraulics
gutierrez,sauber,12,17,21,R,0,28,,,16.0,22.0,1:29.135,176.940,Transmission
sutil,force_india,15,11,22,R,0,19,,,12.0,21.0,1:28.548,178.113,Hydraulics
vettel,red_bull,1,2,1,1,25,44,1:23:42.196,5022196.0,40.0,1.0,1:50.756,227.657,Finished
alonso,ferrari,3,9,2,2,18,44,+16.869,5039065.0,36.0,4.0,1:51.383,226.375,Finished
hamilton,mercedes,10,1,3,3,15,44,+27.734,5049930.0,39.0,7.0,1:51.596,225.943,Finished
rosberg,mercedes,9,4,4,4,12,44,+29.872,5052068.0,39.0,6.0,1:51.582,225.971,Finished
webber,red_bull,2,3,5,5,10,44,+33.845,5056041.0,31.0,5.0,1:51.397,226.347,Finished
button,mclaren,5,6,6,6,8,44,+40.794,5062990.0,36.0,2.0,1:50.823,227.519,Finished
massa,ferrari,4,10,7,7,6,44,+53.922,5076118.0,40.0,9.0,1:52.182,224.763,Finished
grosjean,lotus_f1,8,7,8,8,4,44,+55.846,5078042.0,34.0,11.0,1:52.497,224.133,Finished
sutil,force_india,15,12,9,9,2,44,+1:09.547,5091743.0,35.0,10.0,1:52.226,224.675,Finished
ricciardo,toro_rosso,19,19,10,10,1,44,+1:13.470,5095666.0,38.0,3.0,1:50.967,227.224,Finished
perez,mclaren,6,13,11,11,0,44,+1:21.936,5104132.0,34.0,16.0,1:53.472,222.208,Finished
vergne,toro_rosso,18,18,12,12,0,44,+1:26.740,5108936.0,29.0,14.0,1:53.065,223.008,Finished
hulkenberg,sauber,11,11,13,13,0,44,+1:28.258,5110454.0,41.0,15.0,1:53.110,222.919,Finished
gutierrez,sauber,12,21,14,14,0,44,+1:40.436,5122632.0,30.0,8.0,1:51.849,225.432,Finished
bottas,williams,17,20,15,15,0,44,+1:47.456,5129652.0,31.0,13.0,1:52.688,223.754,Finished
garde,caterham,21,14,16,16,0,43,,,43.0,18.0,1:53.995,221.188,+1 Lap
maldonado,williams,16,17,17,17,0,43,,,35.0,12.0,1:52.579,223.970,+1 Lap
jules_bianchi,marussia,22,15,18,18,0,43,,,37.0,20.0,1:54.894,219.457,+1 Lap
chilton,marussia,23,16,19,19,0,42,,,31.0,21.0,1:54.924,219.400,+2 Laps
resta,force_india,14,5,20,R,0,26,,,21.0,19.0,1:54.757,219.719,Collision
raikkonen,lotus_f1,7,8,21,R,0,25,,,20.0,17.0,1:53.688,221.785,Brakes
pic,caterham,20,22,22,R,0,8,,,7.0,22.0,1:57.330,214.901,Oil leak
vettel,red_bull,1,1,1,1,25,53,1:18:33.352,4713352.0,52.0,12.0,1:27.190,239.187,Finished
alonso,ferrari,3,5,2,2,18,53,+5.467,4718819.0,52.0,5.0,1:26.797,240.270,Finished
webber,red_bull,2,2,3,3,15,53,+6.350,4719702.0,53.0,3.0,1:26.690,240.567,Finished
massa,ferrari,4,4,4,4,12,53,+9.361,4722713.0,48.0,10.0,1:27.095,239.448,Finished
